consumer,mineral,year,hhi_import,hhi_wgi_import,hhi_import_wt,hhi_wgi_import_wt,n_partners,top_partner,top_partner_share,total_imports_M
Korea,Aluminium,2016,0.06137011303390349,0.020573556970734035,0.09802221850063382,0.028623679302950088,45,AUS,0.16438461082531383,5225.260538
Korea,Aluminium,2017,0.05583954878516962,0.02199425971332068,0.099610770377973,0.03387861128736385,47,CHN,0.14031600320259893,6256.448744
Korea,Aluminium,2018,0.06958251720139463,0.030523269098672486,0.1195327815444375,0.04402323445828039,48,CHN,0.19309789982291856,6707.71009
Korea,Aluminium,2019,0.06845574101417459,0.029683072750712053,0.16118636338521497,0.0574951061108673,46,CHN,0.1884348617229778,6069.99729
Korea,Aluminium,2020,0.07560401399333448,0.031560871811161,0.09673238412674937,0.03331551477915885,46,CHN,0.19032902447404002,5395.38466
Korea,Aluminium,2021,0.05423707805702562,0.02457571634748141,0.085770963308616,0.029336594971367716,49,CHN,0.179186445401396,7923.917302
Korea,Aluminium,2022,0.06739601357519144,0.03248937385816737,0.11537663897700466,0.04234119509780045,48,CHN,0.20982310147608382,9099.034375
Korea,Aluminium,2023,0.07539478214330385,0.034524841333439846,0.15854329649850138,0.06131386850688865,47,CHN,0.19032493367850398,7599.084839
Korea,Antimony,2015,0.6561301325543508,0.386557564053199,0.5909196244920032,0.3435704015724631,11,CHN,0.804759032834324,59.362818
Korea,Antimony,2016,0.8359924281223706,0.4886138856729126,0.8497397774069719,0.4967500563856506,11,CHN,0.9132697676054876,44.400446
Korea,Antimony,2017,0.8001683139369259,0.4431436904281825,0.8269669488733292,0.45805883363143746,14,CHN,0.8930421672603007,62.673007
Korea,Antimony,2018,0.7981753899082484,0.44406539667090245,0.6639747826175657,0.36948533712442755,15,CHN,0.8922332579691598,74.760987
Korea,Antimony,2019,0.6320533119385607,0.3473272888213237,0.5360575533379037,0.29464596264375004,14,CHN,0.7886059822203795,49.384406
Korea,Antimony,2020,0.5543030324295383,0.30960995127555724,0.6035552345716068,0.33719259307789523,13,CHN,0.7331705066632991,38.990746
Korea,Antimony,2021,0.4950762403564308,0.27380808845924204,0.509143220685426,0.28170639138825015,10,CHN,0.6633456318731911,77.228138
Korea,Antimony,2022,0.536524696048415,0.3026570734484035,0.5634027031548682,0.3173848552338958,13,CHN,0.7085320538447434,71.969588
Korea,Antimony,2023,0.5653602171529554,0.3126078686710413,0.5940742497677551,0.3285927741959155,9,CHN,0.7329331356414449,59.743473
Korea,Beryllium,2015,0.5956982553003878,0.16282052147585474,0.5326326413757629,0.1259182754745522,6,USA,0.7367524491022905,0.84827
Korea,Beryllium,2016,0.7345362878544104,0.2127061494643218,0.5670184257142424,0.1340450612767289,6,USA,0.8463176491001152,1.26794
Korea,Beryllium,2017,0.7807095823301147,0.23652100011939658,0.49698248243545384,0.1268257274527245,4,USA,0.8766410395563976,1.516493
Korea,Beryllium,2018,0.5841256044964571,0.17331448314143688,0.8059115354612488,0.18917243060854805,6,USA,0.7258249776429289,1.454797
